Study number,Study code,Study reference,Experiment number,Study short name,Retrieved from,Document Type,On money priming?,Empirical?,Random Assignment,Neutral Comparison?,Eligible?,Why not?,Able to compute effect size?,Included?,Notes,dep,prime,prime (extra notes).,year ,jrnl,published,replication,Preregistered,Prime Type (coder 1),Prime Type (coder 2),Prime Type (coder agreement),Prime Type (final code),Setting (coder 1),Setting (coder 2),Setting (code agreement),Setting (final code),Behavioral vs non-behavioral (coder 1),Behavioral vs non-behavioral (coder 2),Behavioral vs non-behavioral (code agreement),Behavioral vs. Non-behavioral,Problems?,Multiple DV?,Interaction?,Notes ,2nd factor,Simple main effect,Interaction Identification (1=Largest predicted effect),Notes,Contact Author?,Information to seek,Aggregated across DVs?,d,var of d,g,var of g,Notes.,Notes:    1st DV,Effect size (D) (Reported),significance,n1,n2,N,m1 ,m2,sd1,sd2,Direction of Effect,"d from M,SD,n",Variance of  d,"g from M,SD,n",Variance of g,log odds ratio,percent1,percent2,Odds ratio,A,B,C,D,variance of log odds ratio,Type of test statistics,Value of test statistics,converted d,variance of d,converted g,variance of g,Notes: 2nd effect size,Effect size (D) (Reported) ,Significance,n1-,n2-,N-,m1-,m2-,sd1-,sd2-,Direction of Effect,"d from M,SD,n",Variance of  d,"g from M,SD,n",Variance of g,log odds ratio,variance of log odds ratio,Type of test statistics,Value of test statistics,converted d,variance of d,converted g,variance of g,Notes: 3rd effect size,Effect size (D) (Reported) ,Significance,n1-,n2-,N-,m1-,m2-,sd1-,sd2-,Direction of Effect,"d from M,SD,n",Variance of  d,"g from M,SD,n",Variance of g,Notes,Effect size (D) (Reported) ,Significance,n1-,n2-,N-,m1-,m2-,sd1-,sd2-,Direction of Effect,"d from M,SD,n",Variance of  d,"g from M,SD,n",Variance of g
126,126a,"Mukherjee, S., Manjaly, J. A., & Nargundkar, M. (2013). Money makes you reveal more: Consequences of monetary cues on preferential disclosure of personal information. Frontiers in Psychology, 4. doi:10.3389/fpsyg.2013.00839",1,"Mukherjee, S., Manjaly, J. A., & Nargundkar, M. (2013), Study 1",PsycINFO,Journal,1,1,1,1,1,,1,1,,Willingness to disclose personal information. ,Pictures,Picture of money in background.,2013,Frontiers in Psychology,1,0,0,1,1,1,1,1,1,1,1,2,2,1,2,0,0,0, Note: Means and SDs from supplementary materials. ,,,,,,,0,0.494,0.05,0.49,0.049,,,,1,41.5,41.5,83,47.76,42.59,10.29,10.63,1,0.494198598,0.04966405,0.489608518,0.048745782,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
127,127b,"Mukherjee, S., Nargundkar, M., & Manjaly, J. A. (2014). Monetary primes increase differences in predicted life-satisfaction between new and old Indian Institutes of Technology (IITs). Psychological Studies, 59(2), 191–196. doi:10.1007/s12646-014-0259-5",2,,PsycINFO,Journal,1,1,1,1,1,,0,0,Cannot compute effect size,DV1: Self-life satisfaction. DV2: Difference in life satisfaction between new and old IIT. ,Pictures,,2014,Psychological Studies,1,0,,1,1,1,1,2,2,1,2,2,,,2,0,1,0,,,,,,1,"Information to handle mutiple DVs (i.e., correlation)",,,,,,Unable to extract from author's response, DV1: Self-reported life satisfaction.,,0,140,140,280,6.48,6.33,1.82,1.87,?,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,DV3: Difference between old and new IITs,,1,140,140,280,1.59,1.07,1.86,1.56,1,0.302930325,0.014449584,0.302112332,0.014371653,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
128,128,"Neumann, C. P. (1975). Success today: Achievement without happiness. Psychosomatics: Journal of Consultation and Liaison Psychiatry, 16(3), 103–106. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1976-12081-001&site=ehost-live",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
129,129,"North, A. C., & Hargreaves, D. J. (2010). Music and marketing. In P. N. Juslin, J. A. Sloboda, P. N. (Ed) Juslin, & J. A. (Ed) Sloboda (Eds.), Handbook of music and emotion: Theory, research, applications. (pp. 909–930). New York, NY, US: Oxford University Press. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2010-02543-032&site=ehost-live",,,,Book / Book Chapter,,,,,,,,,,,,,,,,,,,,1,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
130,130,"Otto, S., Kaiser, F. G., & Arnold, O. (2014). The critical challenge of climate change for psychology: Preventing rebound and promoting more individual irrationality. European Psychologist, 19(2), 96–106. doi:10.1027/1016-9040/a000182",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
131,131,"Pashler, H., Rohrer, D., Abramson, I., Wolfson, T., & Harris, C. R. (2016). A social priming data set with troubling oddities. Basic and Applied Social Psychology, 38(1), 3–18. doi:10.1080/01973533.2015.1124767",,,PsycINFO,Journal,1,0,,,0,"This is a reanalysis of a past study, which ended up being retracted. ",,,,,,,,,,,,,,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
132,132,"Pashler, H., Rohrer, D., Abramson, I., Wolfson, T., & Harris, C. R. (2016). Response to comments by Chatterjee, Rose, and Sinha. Basic and Applied Social Psychology, 38(1), 41–46. doi:10.1080/01973533.2016.1138863",,,PsycINFO,Journal,1,0,,,0,This is a commentary/response. ,,,,,,,,,,,,,,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
133,133,"Peabody, A. P. (1873). Ancient history of moral philosophy. In A manual of moral philosophy, designed for colleges and high schools. (pp. 195–206). New York, NY, US: American Book Company. doi:10.1037/10945-014",,,,Book / Book Chapter,,,,,,,,,,,,,,,,,,,,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
134,134,"Pearson, J. A. (2008). Individual differences in the detection of masked emotional faces and prosocial behavior. Dissertation Abstracts International: Section B: The Sciences and Engineering. ProQuest Information & Learning, US. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2008-99140-350&site=ehost-live",,,,Dissertation,,,,,,,,,,,,,,,,,,,,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
135,135,"Perkins, D. (2015). Reform of federation: An opportunity for rural health. The Australian Journal of Rural Health, 23(2), 61. doi:10.1111/ajr.12194",,,PsycINFO,Journal,0,0,,,0,Not about money priming.,,,,,,,,,,,,,,1,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
136,136,"Perkins, K. A., Grobe, J., & Fonte, C. (1997). Influence of acute smoking exposure on the subsequent reinforcing value of smoking. Experimental and Clinical Psychopharmacology, 5(3), 277–285. doi:10.1037/1064-1297.5.3.277",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
137,137,"Perry, S. (2012). Review of La communication politique. European Journal of Communication, 27(2), 208–210. doi:10.1177/0267323112441291",,,PsycINFO,Journal,0,0,,,0,This is a book review. ,,,,,,,,,,,,,,1,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
127,127a,"Mukherjee, S., Nargundkar, M., & Manjaly, J. A. (2014). Monetary primes increase differences in predicted life-satisfaction between new and old Indian Institutes of Technology (IITs). Psychological Studies, 59(2), 191–196. doi:10.1007/s12646-014-0259-5",1,"Mukherjee, S., Nargundkar, M., & Manjaly, J. A. (2014), Study 1",PsycINFO,Journal,1,1,1,1,1,,1,1,,DV1: Self-reported life satisfaction. DV2: Predicted life satisfaction of classmates. DV3: Difference in life satisfaction between new and old IIT. ,Pictures,,2014,Psychological Studies,1,0,0,1,1,1,1,3,3,1,3,2,2,1,2,0,1,0,,,,,,1,"Information to handle mutiple DVs (i.e., correlation)",1,0.497,0.04,0.486,0.038,, DV1: Self-reported life satisfaction.,,0,20,23,43,5.79,5.91,1.44,1.67,?,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,DV2: Life satisfaction of classmates,,0,20,23,43,5.8,6.6,1.24,1.1,?,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,DV3: Difference between old and new IITs,,1,20,23,43,1.85,0.92,1.6,0.85,1,0.741271358,0.099867601,0.727628327,0.096225322,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
139,139,"Rabinowitz, F. E., & Cochran, S. V. (1994). Man alive: A primer of men’s issues. Belmont, CA, US: Thomson Brooks/Cole Publishing Co. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1994-97922-000&site=ehost-live",,,,Book / Book Chapter,,,,,,,,,,,,,,,,,,,,1,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
140,140,"Rao, K. N., & Kishore, K. (2014). Dharmic education: A panacea for social evils in emerging economies. Electronic Journal of Business Ethics and Organization Studies, 19(2), 4–8. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-52121-001&site=ehost-live",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
141,141,"Rao, L.-L., Wang, X.-T., & Li, S. (2015). Investment choice and perceived mating intentions regulated by external resource cues and internal fluctuation in blood glucose levels. Frontiers in Psychology, 5. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2015-47769-001&site=ehost-live",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
142,142,"Reed, A. I. I., Aquino, K., & Levy, E. (2007). Moral Identity and Judgments of Charitable Behaviors. Journal of Marketing, 71(1), 178–193. doi:10.1509/jmkg.71.1.178",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
143,143,"Reinholtz, N., Bartels, D. M., & Parker, J. R. (2015). On the mental accounting of restricted-use funds: How gift cards change what people purchase. Journal of Consumer Research, 42(4), 596–614. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2015-55535-006&site=ehost-live",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
144,144,"Repin, D. V. (2001, May). Thinking and feeling numbers:  Neural models of numerical estimation and psychophysiology of financial information processing. Dissertation Abstracts International: Section B: The Sciences and Engineering. ProQuest Information & Learning, US. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2001-95010-355&site=ehost-live",,,,Dissertation,,,,,,,,,,,,,,,,,,,,1,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
145,145,"Roberts, J. A., & Roberts, C. R. (2012). Money matters: Does the symbolic presence of money affect charitable giving and attitudes among adolescents? Young Consumers, 13(4), 329–336. doi:10.1108/17473611211282572",1,,PsycINFO,Journal,1,1,1,1,1,,0,0,Cannot compute effect size,DV1: Amount they would donate. DV2: Attitude towards charity giving. ,Pictures,,2012,Young Consumers,1,0,,1,#N/A,1,1,1,#N/A,#N/A,1,3,,,2,0,1,1,"Possible to derive d from F-value. However, still need correlation between DVs. Simpler to just request both SD and correlation. ","Gender is entered into ANOVA as a second factor. However, they make no prediction for interaction, and did not report interaction results. ",,,,1,SDs and correlation between DVs,,,,,,No response,DV1: Amount they would donate.,,1,57,57,114,5.87,6.81,,,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,F,4,0.37,0.04,0.37,0.04,DV2: Attitude towards charity giving. ,,1,57,57,114,,,,,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,F,3.7,0.18,0.01,0.18,0.01,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
138,138,"Pfeffer, J., & DeVoe, S. E. (2009). Economic evaluation: The effect of money and economics on attitudes about volunteering. Journal of Economic Psychology, 30(3), 500–508. doi:10.1016/j.joep.2008.08.006",2,"Pfeffer, J., & DeVoe, S. E. (2009), Study 2",PsycINFO,Journal,1,1,1,1,1,"Study 1 does not prime money directly, but study 2 does. ",1,1,,Helpfulness,Sentence descrambling,,2009,Journal of Economic Psychology,1,1,0,2,2,1,2,1,1,1,1,2,2,1,2,0,0,0,,,,,,,,0,0.344,0.03,0.343,0.026,,,,1,56,131,187,3.92,4.18,0.96,0.65,1,0.344112558,0.025807344,0.34271562,0.025598238,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
146,146a,"Rohrer, D., Pashler, H., & Harris, C. R. (2015). Do subtle reminders of money change people’s political views? Journal of Experimental Psychology: General, 144(4), e73–e85. doi:10.1037/xge0000058",1,"Rohrer, D., Pashler, H., & Harris, C. R. (2015), Study 1",PsycINFO,Journal,1,1,1,1,1,,1,1,,System Justification,Pictures,,2015,Journal of Experimental Psychology: General,1,1,0,1,1,1,1,1,1,1,1,2,2,1,2,0,0,0,,,,,,,,0,-0.07,0.03,-0.07,0.029,,,-0.07,0,69,67,136,3.76,3.83,0.97,1.02,-1,-0.070355935,0.029436325,-0.069961416,0.029107124,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
146,146b,"Rohrer, D., Pashler, H., & Harris, C. R. (2015). Do subtle reminders of money change people’s political views? Journal of Experimental Psychology: General, 144(4), e73–e85. doi:10.1037/xge0000058",2,"Rohrer, D., Pashler, H., & Harris, C. R. (2015), Study 2",PsycINFO,Journal,1,1,1,1,1,,1,1,,Belief in a Just World,Sentence descrambling,,2015,Journal of Experimental Psychology: General,1,1,0,2,2,1,2,2,2,1,2,2,2,1,2,0,0,0,,,,,,,,0,0.057,0.01,0.057,0.009,,,0.06,0,211,209,420,2.59,2.56,0.5,0.55,1,0.057091159,0.009527906,0.056988662,0.009493725,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
146,146c,"Rohrer, D., Pashler, H., & Harris, C. R. (2015). Do subtle reminders of money change people’s political views? Journal of Experimental Psychology: General, 144(4), e73–e85. doi:10.1037/xge0000058",3,"Rohrer, D., Pashler, H., & Harris, C. R. (2015), Study 3",PsycINFO,Journal,1,1,1,1,1,,1,1,,Social Dominance Orientation,Sentence descrambling,,2015,Journal of Experimental Psychology: General,1,1,0,2,2,1,2,1,1,1,1,2,2,1,2,0,0,0,,,,,,,,0,-0.056,0.03,-0.056,0.025,,,-0.06,0,78,78,156,2.1,2.15,0.89,0.88,-1,-0.056496273,0.025651256,-0.056220682,0.02540161,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
146,146d,"Rohrer, D., Pashler, H., & Harris, C. R. (2015). Do subtle reminders of money change people’s political views? Journal of Experimental Psychology: General, 144(4), e73–e85. doi:10.1037/xge0000058",4a - US,"Rohrer, D., Pashler, H., & Harris, C. R. (2015), Study 4a - US",PsycINFO,Journal,1,1,1,1,1,,1,1,,Fair Market Ideology,Pictures,,2015,Journal of Experimental Psychology: General,1,1,0,1,1,1,1,2,2,1,2,2,2,1,2,0,0,0,,,,,,,,0,0.135,0.04,0.134,0.035,,,0.14,0,50,66,116,0.68,0.48,1.38,1.55,1,0.135196736,0.0352303,0.134305329,0.034767256,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
147,147,"Rose, R. L. (2016). Cautious thoughts on “A social priming data set with troubling oddities”. Basic and Applied Social Psychology, 38(1), 30–32. doi:10.1080/01973533.2015.1127237",,,PsycINFO,Journal,1,0,,,0,This is a commentary/response. ,,,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
148,148,"Rutchick, A. M. (2010). Deus ex machina: The influence of polling place on voting behavior. Political Psychology, 31(2), 209–225. doi:10.1111/j.1467-9221.2009.00749.x",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
149,149,"Saini, R., & Monga, A. (2008). How I decide depends on what I spend: Use of heuristics is greater for time than for money. Journal of Consumer Research, 34(6), 914–922. doi:10.1086/525503",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
150,150,"Santos, D., & Rivera, R. G. (2015). The accessibility of justice-related concepts can validate intentions to punish. Social Influence, 10(3), 180–192. doi:10.1080/15534510.2015.1031170",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151,151,"Schwebel, M. (1969). Has the reviewer been educated? PsycCRITIQUES, 14(9), 517–518. doi:10.1037/009877",,,PsycINFO,Journal,,0,,,0,This is a commentary/response. ,,,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
152,152,"Scollon, C. N., & Wirtz, D. (2014). Money, materialism, and the good life: Cultural perspectives. In M. Tatzel & M. (Ed) Tatzel (Eds.), Consumption and well-being in the material world. (pp. 109–125). Scollon, Christie Napa, School of Social Sciences, Singapore Management University, Singapore, Singapore: Springer Science + Business Media. doi:10.1007/978-94-007-7368-4_6",,,,Book / Book Chapter,,,,,,,,,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
153,153,"Semenya, A. H. (2008). Social dominance orientation and the prediction of women’s ingroup-enhancing beliefs and behaviour. Dissertation Abstracts International: Section B: The Sciences and Engineering. ProQuest Information & Learning, US. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2008-99040-550&site=ehost-live",,,,Dissertation,,,,,,,,,,,,,,,,,,,,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
